DateTime,pv_E01,pv_E02,pv_E03,pv_E04,pv_E05,pv_E06,pv_E07,pv_IH,pv_IH_CW,pv_IH_KW,pv_LH1,pv_LH2,pv_LH3,pv_LH4,pv_LH5,pv_LH6,pv_LH7,pv_LH8,pv_M01,pv_M02,pv_M03,pv_M04,pv_M05,pv_M06,pv_M07,pv_M08,pv_M09,pv_M10,pv_M11,pv_M12,pv_M13,pv_M14,pv_M15,pv_M16,pv_M17,pv_M18,pv_M19,pv_P01,pv_P02,pv_P03,pv_POS,pv_ROT,pv_S01,pv_S02,pv_S03,pv_S04,pv_S05,pv_SH_CW,pv_TB1,pv_TB2,pv_TB3,pv_TB4,pv_TB5,pv_TB6,sv_E01,sv_E02,sv_E03,sv_E04,sv_E05,sv_E06,sv_E07,sv_IH,sv_M01,sv_M02,sv_M03,sv_M04,sv_M05,sv_M06,sv_M07,sv_M08,sv_M09,sv_M10,sv_M11,sv_M12,sv_M13,sv_M14,sv_M15,sv_M16,sv_M17,sv_M18,sv_M19,sv_P01,sv_POS,sv_ROT
2024-02-28 16:22:12,1311.378324,1510.469658,886.3690783,13.1947888,428.3150518,899.1468184,899.1468184,38.061273,8.787217803,0,760.8701652,760.8701652,760.8701652,760.8701652,760.8701652,760.8701652,760.8701652,760.8701652,12.02744066,8.715677124,2.018429766,0.16597593,0,0.848688076,1.854033347,0.082376291,0.041020268,0.250554103,0.041020268,0,0.848688076,0.082376291,2.018429766,0,1.592585246,0,0,1294.180263,2.686722464,730.0497591,0,0,20.33671327,21.33384706,21.45467073,20.33671327,969.0840466,18.64826309,0,0,0,0,0,0,1631.895581,1631.895581,1631.895581,1631.895581,1631.895581,1631.895581,1631.895581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.6310094,0,0
2024-02-28 16:22:13,1305.596516,1490.053492,872.3819158,13.43098092,437.1809195,906.2993186,906.2993186,37.72778911,9.015347474,0,768.5872452,768.5872452,768.5872452,768.5872452,768.5872452,768.5872452,768.5872452,768.5872452,11.83792135,8.762183306,1.992204402,0.166107444,0,0.846768049,1.839783019,0.082474376,0.041077351,0.250653921,0.041077351,0,0.846768049,0.082474376,1.992204402,0,1.583199164,0,0,1295.672832,2.737251247,740.3575546,0,0,20.38879691,21.35744895,21.47413426,20.38879691,966.2464136,18.38216817,0,0,0,0,0,0,1622.31483,1622.31483,1622.31483,1622.31483,1622.31483,1622.31483,1622.31483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.8215631,0,0
2024-02-28 16:22:14,1299.657691,1469.735359,858.7434486,13.66702696,446.0751217,913.3191138,913.3191138,37.39242435,9.247088711,0,776.2046056,776.2046056,776.2046056,776.2046056,776.2046056,776.2046056,776.2046056,776.2046056,11.65324447,8.807303903,1.96614239,0.166212825,0,0.844728835,1.825400973,0.082559389,0.041127902,0.250714649,0.041127902,0,0.844728835,0.082559389,1.96614239,0,1.573652983,0,0,1296.960165,2.790116112,750.6047115,0,0,20.43760035,21.37767055,21.49021152,20.43760035,963.2781055,18.11884196,0,0,0,0,0,0,1612.569495,1612.569495,1612.569495,1612.569495,1612.569495,1612.569495,1612.569495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2121177,0,0
2024-02-28 16:22:15,1293.56476,1449.523009,845.4577504,13.90283478,454.9940622,920.2039354,920.2039354,37.0553173,9.482337254,0,783.7196221,783.7196221,783.7196221,783.7196221,783.7196221,783.7196221,783.7196221,783.7196221,11.47346472,8.85102629,1.940253363,0.166292126,0,0.842571672,1.810893341,0.082631344,0.041171926,0.250736405,0.041171926,0,0.842571672,0.082631344,1.940253363,0,1.563951041,0,0,1298.042511,2.845287718,760.7874293,0,0,20.48311649,21.39451634,21.50290863,20.48311649,960.1807682,17.85837768,0,0,0,0,0,0,1602.664008,1602.664008,1602.664008,1602.664008,1602.664008,1602.664008,1602.664008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.8013924,0,0
2024-02-28 16:22:16,1287.320686,1429.424114,832.5287464,14.1383125,463.9341416,926.9515729,926.9515729,36.71660697,9.720987641,0,791.1297158,791.1297158,791.1297158,791.1297158,791.1297158,791.1297158,791.1297158,791.1297158,11.29863478,8.893338424,1.914546866,0.166345413,0,0.840297844,1.796266291,0.082690261,0.041209429,0.250719325,0.041209429,0,0.840297844,0.082690261,1.914546866,0,1.554097726,0,0,1298.920198,2.902735861,770.9019403,0,0,20.52533954,21.40799215,21.51223306,20.52533954,956.9560955,17.60086722,0,0,0,0,0,0,1592.602855,1592.602855,1592.602855,1592.602855,1592.602855,1592.602855,1592.602855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.5880295,0,0
2024-02-28 16:22:17,1280.928489,1409.446252,819.9602124,14.37336855,472.8917587,933.5598747,933.5598747,36.37643278,9.962933249,0,798.4323549,798.4323549,798.4323549,798.4323549,798.4323549,798.4323549,798.4323549,798.4323549,11.12880523,8.934228848,1.889032355,0.166372761,0,0.837908677,1.78152603,0.082736165,0.04124042,0.250663559,0.04124042,0,0.837908677,0.082736165,1.889032355,0,1.544097482,0,0,1299.59364,2.962429484,780.9445109,0,0,20.56426505,21.41810512,21.51819361,20.56426505,953.6058291,17.34640115,0,0,0,0,0,0,1582.390576,1582.390576,1582.390576,1582.390576,1582.390576,1582.390576,1582.390576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.5705951,0,0
2024-02-28 16:22:18,1274.391242,1389.596907,807.755773,14.6079117,481.8633122,940.0267487,940.0267487,36.03493444,10.20806634,0,805.6250549,805.6250549,805.6250549,805.6250549,805.6250549,805.6250549,805.6250549,805.6250549,10.96402456,8.973686691,1.863719189,0.166374255,0,0.835405544,1.766678796,0.082769086,0.041264912,0.250569273,0.041264912,0,0.835405544,0.082769086,1.863719189,0,1.533954802,0,0,1300.063327,3.02433669,790.9114435,0,0,20.59988986,21.42486374,21.52080041,20.59988986,950.1317574,17.09506863,0,0,0,0,0,0,1572.031764,1572.031764,1572.031764,1572.031764,1572.031764,1572.031764,1572.031764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.7475796,0,0
2024-02-28 16:22:19,1267.71207,1369.883471,795.9189003,14.84185108,490.8452019,946.3501636,946.3501636,35.69225196,10.45627809,0,812.7053803,812.7053803,812.7053803,812.7053803,812.7053803,812.7053803,812.7053803,812.7053803,10.80433917,9.011701679,1.838616632,0.166349992,0,0.832789858,1.751730859,0.08278906,0.041282919,0.250436648,0.041282919,0,0.832789858,0.08278906,1.838616632,0,1.523674227,0,0,1300.329831,3.088424759,800.7990774,0,0,20.63221219,21.42827782,21.52006489,20.63221219,946.5357153,16.84695739,0,0,0,0,0,0,1561.531062,1561.531062,1561.531062,1561.531062,1561.531062,1561.531062,1561.531062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.1173987,0,0
2024-02-28 16:22:20,1260.89415,1350.313231,784.4529128,15.07509627,499.8338304,952.5281492,952.5281492,35.34852552,10.70745868,0,819.6709449,819.6709449,819.6709449,819.6709449,819.6709449,819.6709449,819.6709449,819.6709449,10.6497933,9.048264134,1.813733843,0.166300076,0,0.830063075,1.736688519,0.082796128,0.041294458,0.250265878,0.041294458,0,0.830063075,0.082796128,1.813733843,0,1.513260345,0,0,1300.393806,3.154660157,810.6037908,0,0,20.66123154,21.42835848,21.51599983,20.66123154,942.8195827,16.60215373,0,0,0,0,0,0,1550.893158,1550.893158,1550.893158,1550.893158,1550.893158,1550.893158,1550.893158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.6783936,0,0
2024-02-28 16:22:21,1253.940707,1330.893375,773.3609742,15.30755727,508.8256041,958.5587972,958.5587972,35.00389549,10.96149728,0,826.519413,826.519413,826.519413,826.519413,826.519413,826.519413,826.519413,826.519413,10.50042908,9.083364978,1.789079877,0.166224623,0,0.827226694,1.7215581,0.082790333,0.041299549,0.250057176,0.041299549,0,0.827226694,0.082790333,1.789079877,0,1.502717789,0,0,1300.255984,3.223008555,820.3220018,0,0,20.68694876,21.42511817,21.5086193,20.68694876,938.9852842,16.36074245,0,0,0,0,0,0,1540.122791,1540.122791,1540.122791,1540.122791,1540.122791,1540.122791,1540.122791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.4288324,0,0
